T0331304C/TSK,ﾌｧﾐﾘｰ･ﾌﾚﾝﾄ,G04180,三菱ＵＦＪ ＳＲＩファンド,
T02311998/TSK,ｴｺﾌｧﾝﾄﾞ,G01146,日興エコファンド,
T47311009/TSK,ﾃﾞｨｰﾌﾟﾊﾞﾘｭ,G11938,ディープバリュー株オープン,
T18311062/TSK,株小町,G04783,インベスコ　女性力フォーカス日本株式Ｆ,
T0131107B/TSK,ﾌｫｰｶｽｼﾞｬﾊﾟﾝ,G05607,野村バリュー・フォーカス・ジャパン,
T01311007/TSK,ｽﾄﾗﾃｼﾞｯｸ･,G01389,ストラテジック・バリュー・オープン,
T45312053/TSK,未来のちから,G04323,損保ジャパンＳＲＩオープン,
T02311002/TSK,ｸｵﾝﾂ･ｱｸﾃｨﾌ,G01265,日興クオンツ・アクティブ・ジャパン,
T01311151/TSK,ｽﾄﾗﾃﾊﾞﾘｭｰ,G10775,ジャパン・ストラテジック・バリュー,
T4731399A/TSK,日本成長株,G11817,ＭＨＡＭ日本成長株オープン,
T0931114A/TSK,未来図米ﾄﾞﾙ,G10624,日本の未来図（米ドル投資型）,
T3531197C/TSK,GS日本株ﾌｧ,G12149,ゴールドマン・サックス日本株ファンド,
T03313009/TSK,ﾊﾞﾘｭｰｵｰﾌﾟﾝ,G01455,三菱ＵＦＪ バリューオープン,
T3531298C/TSK,牛若丸(自,G02414,ＧＳ日本株ファンド（自動けいぞく,
T3231116A/TSK,日本配当成成,G05401,フィデリティ日本配当成長株Ｆ(資産成長型),
T47311042/TSK,きらめき,G03875,きらめきジャパン,
T0431F139/TSK,利回り米$年4,G09509,利回り株チャンス　米ドル型(年４回決算型),
T3231115B/TSK,日本ROEﾌｫｰｶｽ,G11381,フィデリティ･日本ＲＯＥフォーカス･Ｆ,
T32313059/TSK,日本配当成分,G04575,フィデリティ日本配当成長株Ｆ（分配重視）,
T32311076/TSK,日本配当成長,G05401,フィデリティ・日本配当成長株投信,
T1831295B/TSK,ｼﾞｬﾊﾟﾝNWﾌﾛ,G02043,インベスコジャパンニューフロンティアＯＰ,
T32311004/TSK,日本優良株,G01315,日本優良株・ファンド,
T10311143/TSK,ROE(ﾛｴ),G10322,ＲＯＥ日本株ファンド,
T1731101C/TSK,JPM日本株O,G03120,ＪＰＭ日本株・オープン,
T0131M154/TSK,企業価値向上,G10920,日本企業価値向上ファンド（限定追加型）,
T22312021/TSK,ﾏｰｹｯﾄ･ｺｰｽ,G03219,マーケット・コース（ヘッジなし）,
T01311155/TSK,企業価値円,G11117,野村日本企業価値向上オープン(円投資),
TAB31114B/TSK,MASAMITSU,G10632,ＭＡＳＡＭＩＴＳＵ日本株戦略ファンド,
T4531416A/TSK,ﾊﾞﾘｭｰ･ﾏｲｽﾀｰ,G12280,ＳＯＭＰＯ日本株バリュー・プラスファンド,
T09312144/TSK,ｽﾏｰﾄｼﾞｬﾊﾟﾝ米,G10354,日本優良成長株オープン（米ドル投資型）,
T10311137/TSK,ﾀﾞﾌﾞﾙ･ｲﾝﾊﾟｸﾄ,G09295,Ｔ＆Ｄ日本株ファンド(通貨選択)円建て,
T2231115C/TSK,ｼﾞｬﾊﾟｸｵ予想,G11427,日本消費関連株ファンド(予想分配金提示型),
T04311025/TSK,成長株ｵｰﾌﾟ,G03322,ダイワ成長株オープン,
T03311056/TSK,好配当利回,G04404,日本好配当利回り株オープン(３ヵ月決算型),
T0231Q01A/TSK,つみたてJｸﾞﾛ,G03078,年金積立 Ｊグロース,
T02311916/TSK,Ｊｸﾞﾛｰｽ,G01716,利益還元成長株オープン,
T47311982/TSK,ﾊｲﾌﾞﾘｯﾄﾞ･ｾ,G01621,ハイブリッド・セレクション,
T1731198A/TSK,JPM日本株ｱｸ,G01565,ＪＰＭ日本株・アクティブ・オープン,
T3531105A/TSK,ｲﾝﾌﾟﾗ,G04600,ＧＳ日本株式インデックス・プラス,
T0131197C/TSK,ｼﾞｬﾊﾟﾝ･ﾊﾞﾘｭｰ,G02272,ノムラ・ジャパン・バリュー・オープン,
T04311024/TSK,静岡ﾍﾞﾝﾁﾏｰ,G03309,静岡ベンチマーク・ファンド,
T03311062/TSK,好配日株,G04791,三菱ＵＦＪ 好配当日本株Ｆ(２ヵ月決算型),
T2231215C/TSK,ｼﾞｬﾊﾟｸｵ資成,G11428,日本消費関連株ファンド(資産成長型),
T47311003/TSK,日本株式,G11865,ＭＨＡＭ日本株式,
T5031113C/TSK,日本株ﾘｽｸF,G10096,日興ＵＢＳ日本株式リスクコントロールＦ,
T01311043/TSK,ﾏｽﾀｰｽﾞ小型株,G03917,ノムラファンドマスターズ日本小型株,
T01311002/TSK,BigProject-N,G01240,ノムラ日本株戦略ファンド,
T9W311151/TSK,未来のゆめ,G10756,ちゅうぎん日本大型株アクティブファンド,
T0931105B/TSK,経営進化論,G04684,日本バリュースターオープン,
T8031114C/TSK,対話の力,G10621,日本株式スチュワードシップ・ファンド,
T29312152/TSK,JPXﾌﾟﾚﾐｱﾑ,G10795,ＪＰＸ日経４００アクティブ･プレ･ＯＰ毎月,
T64318056/TSK,四季の実り,G08654,日本株配当オープン,
T0331311I/TSK,割安株ｼﾞｬﾊﾟﾝ,G10982,割安株ジャパン・オープン,
T47312135/TSK,新興企業日本,G09242,ＤＩＡＭ新興企業日本株ファンド,
T35311177/TSK,ﾋﾞｯｸﾞｽﾄﾗﾃ日,G09242,ＧＳビッグデータ・ストラテジー（日本株）,
T35311066/TSK,株ﾌﾟﾗ円,G04891,ＧＳ日本株・プラス（円コース,
T02311988/TSK,ｼﾞｬﾊﾟﾝｵｰﾌﾟ,G01708,日興ジャパンオープン,
T03317003/TSK,日本株ｲﾝｶﾑ,G0129,日本株インカムＦ,
T22313997/TSK,日本ﾊﾞﾘｭｰ,G01122,大和住銀日本バリュー株ファンド,
T01311962/TSK,ﾉﾑﾗ･ｼﾞｬﾊﾟﾝ,G02270,ノムラ・ジャパン・オープン,
